"Study","Excl1","Excl2"
"MazzoniGianniGDepartment of Biomedical and Specialty Surgical Sciences, 2018Apr16","Publication type",NA
"Ben MansourKhaireddineKa HandiBio Laboratory, 2018Oct",NA,"Not_comparison"
"FenemorS PSPSchool of Physical Education, 2018Jun",NA,"Not_comparison"
"HarrisTessT0000-0002-8671-1553Population Health Research Institute, 2018Mar",NA,"Not_comparison"
"SenderovichHelenHGeriatrics &amp; Palliative Care &amp; Pain Medicine, 2018Jan29","Publication type",NA
"KoolhaasC MCMChantal M. Koolhaas, 2018","Sports-related",NA
"Latorre-Rom&#xe1;nPedro APADepartment of Corporal Expression, 2018Aug01",NA,"Not_comparison"
"MeadsCatherineCFaculty of Health, 2018Jan","Publication type",NA
"RozanskiGabriela MGM0000-0002-9538-2456Mobility Team, 2018Jan04","Disease-related",NA
"StreberAnnaADepartment of Sport Science and Sport, 2017","Cognitive focus",NA
"ElhakeemAhmedAMusculoskeletal Research Unit, 2018Dec01",NA,"Not_comparison"
"PothierKristellKCentre de Recherche, 2018Aug","Cognitive focus",NA
"HealeyE LELArthritis Research UK Primary Care Centre, 2018Mar","Publication type",NA
"JungSongeeS0000-0002-9086-8334Department of Preventive Gerontology, 2018Apr",NA,"Not_comparison"
"VantiCarlaCa Department of Biomedical and Neuromotor Sciences (DIBINEM) , 2019Mar","Publication type",NA
"LeeEun-YoungEY0000-0001-9580-8974Faculty of Physical Education and Recreation, 2017",NA,"Not_comparison"
"TietjenAaron M JAMJHuman Performance Laboratory, 2019Jul","Exercise equipment",NA
"RamosCynthia Graciane CarvalhoCGCObservat&#xf3;rio de Sa&#xfa;de Urbana de Belo Horizonte, 2017Jul-Sep","Other",NA
"de M&#xfc;llenheimP-YPYMovement, 2018Feb",NA,"Not_comparison"
"FieldingR ARARoger A. Fielding, 2017",NA,"Not_comparison"
"KimMin JooMJ1 Department of Mechanical Engineering, 2018Feb",NA,"Molecular/genetic focus"
"JiZhiguangZSchool of Kinesiology, 2017","Cognitive focus",NA
"NickelsMarc RMR0000-0002-7064-9230Department of Physiotherapy, 2017Oct22","Publication type",NA
"KeevilVictoria LVLDepartment of Public Health and Primary Care, 2018Jan","Disease-related",NA
"GowBrian JBJ0000-0002-7682-1943Osher Center for Integrative Medicine, 2017",NA,"Not_comparison"
"LamFreddy MhFM1 Department of Rehabilitation Sciences, 2018Apr",NA,"Not_comparison"
"CookSummer BSBDepartment of Kinesiology, 2017Dec01",NA,"Molecular/genetic focus"
"BruneauMichaelMJr0000-0002-4588-1468Drexel UniversityPhiladelphiaPennsylvania., 2017Sep","Sports-related",NA
"KorinekElizabeth VEVSchool of Nutrition and Health Promotion, 2018Feb","Cognitive focus",NA
"LimaJosivaldo de SouzaJSCentro de Estudos do Laborat&#xf3;rio de Aptid&#xe3;o F&#xed;sica de S&#xe3;o Caetano do Sul - S&#xe3;o Caetano do Sul (SP), 2017Apr-Jun",NA,"Not_comparison"
"FieldingRoger ARA0000-0003-2236-9020Nutrition, 2017",NA,"Not_comparison"
"Lauz&#xe9;MartineMD&#xe9;partement des Sciences de l'activit&#xe9; physique, 2017Dec01","Cognitive focus",NA
"TonstadSerenaS1 School of Public Health, 2018May",NA,"Not_comparison"
"BjerkMariaM0000-0001-8839-1613Department of Physiotherapy, 2017Aug14","Publication type",NA
"AliniaParastooP0000-0001-8201-3005School of Electrical Engineering and Computer Science, 2017Aug11",NA,"Not_comparison"
"SchafferSamuel DSDa Department of Physical Therapy and Athletic Training, 2017Oct","Disease-related",NA
"PitangaFrancisco Jos&#xe9; GondimFJGPhD. Associate Professor, 2017Jul-Aug","Publication type",NA
"KingAbby CACDepartment of Health Research &amp; Policy, 2017Oct","Publication type",NA
"TowneSamuel DSDJrTexas A&amp;M School of Public Health, 2018Aug","Age inappropriate",NA
"ZandiehRaziehRFaculty of Geo-Information Science and Earth Observation (ITC), 2017Jul07",NA,"Not_comparison"
"PadalaKalpana PKPGeriatric Research Education and Clinical Center, 2017","Disease-related",NA
"BenattiFabiana BFB1Applied Physiology and Nutrition Research Group, 2017Nov",NA,"Not_comparison"
"BidondeJuliaJNorwegian Institute of Public Health, 2017Jun21","Publication type",NA
"BarkleyJacob EJE1 The School of Health Sciences, 2017Jun",NA,"Not_comparison"
"DumondR&#xe9;myR0000-0003-0924-0986Laboratoire Mouvement, 2017Aug",NA,"Not_comparison"
"NiJunJ1 Affiliated Hospital of Nantong University, 2018Jun","Disease-related",NA
"BeltrameThomasTa Faculty of Applied Health Sciences, 2017Sep","Age inappropriate",NA
"LopezG AGADepartment of Human Nutrition, 2018Feb","Age inappropriate",NA
"RichardsonCaroline RCRVA Center for Clinical Management Research, 2016Nov",NA,"Not_comparison"
"KaoShih-ChunSCDepartment of Kinesiology and Community Health, 2017Sep","Cognitive focus",NA
"AzarMarleineMLady Davis Institute for Medical Research, 2018Aug",NA,"Not_comparison"
"LewisLiane SLS, 2018Jan01","Exercise equipment",NA
"LanaAlbertoA1Department of Medicine, 2017Apr",NA,"Molecular/genetic focus"
"LooC K JenniferCKDalla Lana School of Public Health, 2017Apr08",NA,"Not_comparison"
"Morgado RamirezDafne ZuleimaDZUCL Interaction Centre, 2017Nov01","Disease-related",NA
"JosephRodney PRP1 Arizona State University, 2018Jul",NA,"Not_comparison"
"GmiatAADepartment of Physiology and Pharmacology, 2017Aug","Other",NA
"ParvanehSamanSInterdisciplinary Consortium on Advanced Motion Performance (iCAMP), 2017",NA,"Not_comparison"
"TalleyKristine M CKMCSchool of Nursing, 2017Jun",NA,"Not_comparison"
"SantanastoAdam JAJCenter for Aging and Population Health, 2017Jul",NA,"Not_comparison"
"MalamboPasmorePFaculty of Community and Health Sciences School of Public Health, 2017Feb20",NA,"Not_comparison"
"HendrikxJosJ0000-0002-8624-5871Innovation Site Eindhoven, 2017Feb02",NA,"Not_comparison"
"WalshDeniseDDublin City University, 2018Jun",NA,"Not_comparison"
"HarkinsKristin AKAPerelman School of Medicine, 2017May",NA,"Not_comparison"
"KoenemanMargot AMABody@Work, 2017Jan06",NA,"Not_comparison"
"DaamiMoniaM, 2017Aug-Sep","Publication type",NA
"RielHenrikHResearch Unit for General Practice, 2016",NA,"Not_comparison"
"DaltonAlice MAMNorwich Medical School, 2016Dec","Disease-related",NA
"StrikeKarenKDepartment of Physiotherapy, 2016Dec19",NA,"Not_comparison"
"NilssonAnna GAGGeriatric Medicine, 2017May","Disease-related",NA
"OgumaYukoY, 2017Apr",NA,"Not_comparison"
"GalleSSDepartment of Movement and Sport Sciences, 2017Feb","Exercise equipment",NA
"ZandiehRaziehRFaculty of Geo-Information Science and Earth Observation (ITC), 2016Nov25",NA,"Not_comparison"
"BlockV JVJDepartment of Physical Therapy and Rehabilitation, 2017Feb",NA,"Not_comparison"
"GeorgiopoulouVasiliki VVVDepartment of Medicine, 2017Feb",NA,"Not_comparison"
"AbaraoguUkachukwu OkoroaforUODepartment of Medical Rehabilitation, 2017Jul",NA,"Not_comparison"
"ExtermannMartineMMoffitt Cancer Center, 2017Jan","Disease-related",NA
"EhrlerFredericF0000-0001-9734-3242Division of Medical Information Sciences, 2016Oct06",NA,"Not_comparison"
"Maldonado-Mart&#xed;nSaraSDepartment of Physical Education and Sport, 2017Mar",NA,"Not_comparison"
"HendersonRebecca MRMJ. Paul Sticht Center on Aging, 2017Oct",NA,"Not_comparison"
"Th&#xf8;gersen-NtoumaniCecilieC, 2017Apr",NA,"Not_comparison"
"DominickGregory MGM0000-0001-6256-503XUniversity of Delaware, 2016Sep19",NA,"Not_comparison"
"TakahashiPaul YPYDivision of Primary Care Internal Medicine., 2016",NA,"Not_comparison"
"SushamesAshleighACollege of Healthcare Sciences, 2016",NA,"Not_comparison"
"LayneAndrew SASDepartment of Applied Physiology &amp; Kinesiology, 2017Jan",NA,"Not_comparison"
"OryMarcia GMGDepartment of Health Promotion and Community Health Sciences, 2016Aug23",NA,"Not_comparison"
"SuemotoClaudia KimieCKDepartment of Global Health and Population, 2017Mar01","Publication type",NA
"VeroneseNicolaNGeriatrics Division, 2017Mar01",NA,"Not_comparison"
"ChomistekAndrea KAKFrom the Department of Epidemiology and Biostatistics, 2016Jul26",NA,"Not_comparison"
"AlsalehEmanESchool of Nursing, 2016Jul26",NA,"Not_comparison"
"BeaversKristen MKMDepartment of Health and Exercise Science, 2015Oct",NA,"Not_comparison"
"ClarkeClare LCLNinewells Hospital and Medical School, 2017Jun",NA,"Not_comparison"
"WickerPamelaPDepartment of Sport Economics and Sport Management, 2017Jun01",NA,"Not_comparison"
"Tom&#xe1;sCatarina CardosoCCHealth Sciences Research Unit: Nursing, 2016Jul06","Age inappropriate",NA
"HinmanRana SRSFrom University of Melbourne and Monash University, 2016Sep20",NA,"Not_comparison"
"ChenDuan-RungDRInstitute of Health Behaviors and Community Sciences, 2016Sep",NA,"Not_comparison"
"ArnoldCatherine MCMSchool of Physical Therapy, 2016Sep","Disease-related",NA
"FongShirley S MSSInstitute of Human Performance, 2016May",NA,"Molecular/genetic focus"
"SuwaMasatakaMHealth Support Center WELPO, 2016May",NA,"Not_comparison"
"KangJi-YoungJYDepartment of the Family Medicine, 2016May","Cognitive focus",NA
"FloegelTheresa ATASchool of Nursing, 2017Feb",NA,"Not_comparison"
"DiMaggioCharlesCDepartment of Surgery, 2016Jun","Age inappropriate",NA
"BenyaminRamsin MRM, 2016May",NA,"Not_comparison"
"CruickshankJ KennedyJKFrom the Cardiovascular Medicine Group, 2016Jun","Age inappropriate",NA
"BampourasTheodoros MTMActive Ageing Research Group, 2016May","Exercise equipment",NA
"EhrlerFredericFDivision of medical information science, 2016",NA,"Not_comparison"
"CongerScott ASA1Department of Kinesiology, 2016Sep",NA,"Not_comparison"
"ZhangJoni HJHInstitute of Human Performance, 2016Dec",NA,"Not_comparison"
"ScholesShaunSHealth and Social Surveys Research Group, 2016",NA,"Molecular/genetic focus"
"FranceschiFFIndena S.p.A, 2016",NA,"Not_comparison"
"MonroeCourtney MCM1 University of South Carolina, 2017Jan",NA,"Not_comparison"
"SimonsickEleanor MEMIntramural Research Program, 2016Jul",NA,"Not_comparison"
"WaygoodE Owen DEOGraduate School of Land Management and Regional Planning (ESAD), 2015Dec15","Age inappropriate",NA
"StigellErikEResearch Unit for Movement, 2015Dec09",NA,"Molecular/genetic focus"
"EvensonKelly RKRDepartment of Epidemiology, 2015Dec18","Publication type",NA
"BhatnagarPrachiPNuffield Department of Population Health, 2016Jun",NA,"Not_comparison"
"LambertiNicolaNDepartment of Biomedical Sciences and Surgical Specialties, 2016Sep",NA,"Not_comparison"
"CarlinAngelaANorthern Ireland Centre for Food and Health, 2016Apr","Age inappropriate",NA
"HuiStanley Sai-ChuenSSDepartment of Sports Science and Physical Education, 2015",NA,"Molecular/genetic focus"
"Soares-MirandaLuisaLFrom Research Centre in Physical Activity, 2016Jan12","Disease-related",NA
"WitteveenAngelique G HAGDepartment of Orthopaedic Surgery, 2015Oct17",NA,"Not_comparison"
"BackxE M PEMDivision of Human Nutrition, 2016Feb",NA,"Molecular/genetic focus"
"YooJae SoonJSDepartment of Nursing, 2016Aug",NA,"Not_comparison"
"PetersonNeil ENEAssistant Professor, 2015Dec","Exercise equipment",NA
"SmallsBrittany LBLCenter for Surgery and Public Health, 2015Oct01",NA,"Not_comparison"
"MerchantReshma ARADepartment of Medicine, 2016Jan",NA,"Not_comparison"
"HalvarssonAlexandraA1 Department of Neurobiology, 2016Nov",NA,"Not_comparison"
"LarunLillebethLPrimary Health Care Unit, 2016Apr","Publication type",NA
"Mart&#xed;nez-VelillaNicol&#xe1;sNDepartment of Geriatrics, 2015Sep15","Publication type",NA
"HurleyJane CJC0000-0002-1197-0585Exercise Science and Health Promotion, 2015Sep11","Publication type",NA
"OesenStefanSResearch Platform Active Ageing, 2015Dec",NA,"Not_comparison"
"EggenbergerPatrickPInstitute of Human Movement Sciences and Sport, 2015","Cognitive focus",NA
"XiaoChun-MeiCMDepartment of Health Promotion and Physical Education, 2016Aug","Disease-related",NA
"Ortol&#xe1;RosarioRDepartment of Preventive Medicine and Public Health, 2016Feb",NA,"Not_comparison"
"HerbolsheimerFlorianFUlm University, 2016Feb",NA,"Not_comparison"
"SandersGabriel JGJ1 Northern Kentucky University , 2015Aug","Sports-related",NA
"SimpsonLisa ALARehabilitation Science, 2015Oct05",NA,"Not_comparison"
"Aguilar-NavarroSara GSGDepartamento de Geriatr&#xed;a, 2015",NA,"Not_comparison"
"MandicSandraSa Active Living Laboratory, 2016",NA,"Not_comparison"
"WilcoxSaraSPrevention Research Center and Dept of Exercise Science, 2015Jun",NA,"Not_comparison"
"GrandeAntonio JoseAJLaboratory of Evidence-Based Practice, 2015Jun16",NA,"Not_comparison"
"DhillonSatvir SSSCentre for Heart Lung Innovation, 2015Nov","Publication type",NA
"InnerdPaulPNewcastle Institute for Ageing, 2015Jul",NA,"Not_comparison"
"ThielmanJustinJPublic Health Ontario, 2015Aug",NA,"Not_comparison"
"CheemaBirinder SBSSchool of Science and Health, 2015","Exercise equipment",NA
"MilosavljevicStephanSUniversity of Saskatchewan, 2015Feb13",NA,"Not_comparison"
"EckertKatharina GKGInstitute of Exercise and Public Health, 2015Mar14",NA,"Molecular/genetic focus"
"WheatonAnne GAG, 2015Mar27","Disease-related",NA
"SchmidDanielaDDepartment of Epidemiology and Preventive Medicine, 2015May","Publication type",NA
"StormFabio AFADepartment of Mechanical Engineering, 2015","Publication type",NA
"LeiteJoao CostaJCUCD Institute of Food and Health, 2015May-Jun",NA,"Not_comparison"
"SabatierManning JMJDepartment of Rehabilitation Medicine, 2015Mar","Exercise equipment",NA
"G&#xf6;tschiThomasTPhysical Activity and Health Unit, 2015May",NA,NA
"CompernolleSofieS0000-0001-7742-2592Physical Activity, 2015Feb09",NA,"Not_comparison"
"KwonJinheeJInstitute for Health Insurance Policy Research, 2015Mar",NA,"Not_comparison"
"BondDale SDSDepartment of Psychiatry and Human Behavior, 2015Mar","Disease-related",NA
"ConradssonDavidDKarolinska Institutet, 2015Oct","Disease-related",NA
"JacquartSon DSD, 2014Fall",NA,"Not_comparison"
"ChemaitillyWassimWWassim Chemaitilly, 2015Feb10","Disease-related",NA
"de HollanderEllen LELNational Institute for Public Health and the Environment, 2015","Sports-related",NA
"MelanconMichel OMOResearch Center on Aging, 2015Mar01","Exercise equipment",NA
"DavenportSarah JSJDepartment of Physiotherapy, 2015Sep","Disease-related",NA
"DillJenniferJNohad A. Toulan School of Urban Studies and Planning, 2014Dec",NA,"Not_comparison"
"FullerDanielDDepartment of Community Health and Epidemiology, 2014Dec",NA,NA
"AlmeidaGustavo JGJDepartment of Physical Therapy, 2015Mar",NA,"Not_comparison"
"AmorimPriscila BatistaPBHeart Institute, 2014Oct","Disease-related",NA
"JohnsonMarquellMa Department of Kinesiology , 2015","Exercise equipment",NA
"Vir&#xe1;gAAPrivate practitioner Manu-Med, 2015Nov",NA,"Not_comparison"
"LanteKerrieK, 2014Oct05",NA,"Not_comparison"
"AhnGrace EGENorthwestern University, 2015May",NA,"Molecular/genetic focus"
"DoescherMark PMPStephenson Cancer Center, 2014Dec",NA,"Not_comparison"
"LadinoLady DLDDepartment of Medicine, 2014Sep",NA,"Not_comparison"
"KeglerMichelle CMCDept of Behavioral Sciences and Health Education, 2015Jun16",NA,"Not_comparison"
"EndeveltRRHealth Promotion and Preventive Medicine, 2015Apr",NA,"Not_comparison"
"JonesMichael LMLVirginia C. Crawford Research Institute, 2014Dec",NA,"Not_comparison"
"IliffeSteveSResearch Department of Primary Care and Population Health, 2014Aug","Disease-related",NA
"HagenbuchnerMarkusMFaculty of Engineering and Information Science, 2015Jul","Age inappropriate",NA
"SongQing-HuaQHThe Center of Physical Health, 2014",NA,"Not_comparison"
"CarlsonJordan AJAFamily and Preventive Medicine, 2015Mar",NA,NA
"DonoghueOrna AOAThe Irish Longitudinal Study on Ageing, 2014Oct",NA,"Not_comparison"
"BrownJustin CJCCenter for Clinical Epidemiology &amp; Biostatistics, 2014Sep",NA,"Not_comparison"
"KraschnewskiJennifer LJLDepartment of Medicine, 2014Sep",NA,"Not_comparison"
"SchneiderMichaelMSchool of Health and Rehabilitation Sciences, 2014","Publication type",NA
"DondzilaChristopher JCJDepartment of Health, 2015Apr",NA,"Not_comparison"
"SchragerMatthew AMAFrom the Department of Integrative Health Science, 2014Oct",NA,"Non-human studies"
"CimolinVVDepartment of Electronics, 2014Jul",NA,"Molecular/genetic focus"
"PearsallRobertR, 2014Apr21","Publication type",NA
"FritschiJuliette OJOSchool of Human Movement Studies, 2014Apr17","Publication type",NA
"UkawaShigekazuSDepartment of Public Health, 2014Jul","Disease-related",NA
"SugiyamaTakemiTSpatial Epidemiology and Evaluation Research Group, 2014Jul",NA,"Molecular/genetic focus"
"TanigawaTakanoriTDepartment of Physical Therapy, 2014Oct","Cognitive focus",NA
"AnastasopoulouPanagiotaPHouse of Competence - hiper.campus, 2014","Sports-related",NA
"YeungPui YeePY1Department of Medicine and Therapeutics, 2015Apr",NA,"Not_comparison"
"SaeedKhwaja Mir IslamKMIAfghanistan National Public Health Institute, 2013",NA,"Not_comparison"
"BuschAngela JAJSchool of Physical Therapy, 2013Dec20",NA,"Not_comparison"
"NiedererDanielDDepartment of Sports Medicine, 2014Mar","Disease-related",NA
"MosallanezhadZahraZDivision of Physiotherapy, 2014May-Jun",NA,"Not_comparison"
"J&#xf8;rgensenChristoffer CCCSection of Surgical Pathophysiology, 2013","Disease-related",NA
"LaneNancy ENEUniversity of California at Davis, 2014Jul","Publication type",NA
"Danon-HerschNadiaNInstitute of Social and Preventive Medicine (IUMSP), 2013Dec13","Sports-related",NA
"SugimotoHiroeHKyoto Women's University, 2014Oct",NA,"Not_comparison"
"VanroyChristelCDepartment of Health Care Sciences, 2014","Disease-related",NA
"GalloPaul MPMTeacher's College, 2013","Exercise equipment",NA
"Van DyckDelfienDDepartment of Movement and Sport Sciences., 2014Jul",NA,"Not_comparison"
"RosenkranzRichard RRRSchool of Science and Health, 2013Nov13",NA,"Not_comparison"
"WatsonKathleen BKBa Centers for Disease Control and Prevention , 2014","Publication type",NA
"Le&#xf3;n-Mu&#xf1;ozLuz MaLMCIBER of Epidemiology and Public Health (CIBERESP), 2014Oct",NA,"Not_comparison"
"GodfreyAlanAInstitute for Ageing and Health, 2014May",NA,"Not_comparison"
"HoranM KMKUCD Obstetrics and Gynaecology, 2014Jan",NA,"Not_comparison"
"PetryNancy MNMCalhoun Cardiology Center., 2013Dec",NA,"Not_comparison"
"NajafiBijanBInterdisciplinary Consortium on Advanced Motion Performance, 2013Sep01",NA,"Not_comparison"
"ComerChristineCLeeds Musculoskeletal and Rehabilitation Service, 2013",NA,"Not_comparison"
"BenelliPieroPa Department of Biomolecular Sciences (DiSB) - Division of Exercise and Health Sciences , 2014","Exercise equipment",NA
"BickmoreTimothy WTWCollege of Computer and Information Science, 2013Oct",NA,"Not_comparison"
"JungTaeyouTKinesiology, 2014Mar","Exercise equipment",NA
"GriewPippaPSport and Health Sciences, 2013Aug23",NA,"Not_comparison"
"de MoraesSuzana AlvesSAEscola de Enfermagem de Ribeir&#xe3;o Preto, 2013Jul-Aug","Sports-related",NA
"DaltonAlice MAMSchool of Environmental Sciences, 2013",NA,"Not_comparison"
"BaldwinJenniferJFrom the Concord Hospital, 2013Sep-Oct",NA,"Not_comparison"
"LeePearl GPGCorresponding author: Pearl G. Lee, 2013Oct",NA,"Not_comparison"
"VisserMarjoleinMVU University Amsterdam and VU University Medical Center, 2014Apr",NA,"Not_comparison"
"ManiniTodd MTMAging Rehabilitation Research Center, 2014Jan",NA,"Not_comparison"
"LeeKa-YiuKYInstitute of Human Performance, 2013","Publication type",NA
"KwanKarenKaDepartment of Medicine, 2014Jan","Disease-related",NA
"KitzmanDalane WDWCardiology Section, 2013Aug13",NA,"Not_comparison"
"Van HoeckeAnn-SophieASDept of Kinesiology, 2014Apr",NA,"Not_comparison"
"HumphreysDavid KDKUKCRC Centre for Diet and Activity Research (CEDAR), 2013Aug",NA,"Not_comparison"
"GaultMandy LucindaMLDepartment of Sport and Exercise Sciences, 2013Apr","Exercise equipment",NA
"CerinEsterEInstitute of Human Performance, 2013Apr08","Publication type",NA
"BaumanAdrianASchool of Public Health, 2012Dec",NA,"Not_comparison"
"StrolloFeliceFEndocrine and Metabolic Unit, 2013Jun",NA,"Not_comparison"
"DubuyVeerleVDepartment of Movement and Sport Sciences, 2013Jun",NA,"Molecular/genetic focus"
"GiangregorioLora MLMDepartment of Kinesiology, 2013Jan31","Disease-related",NA
"PeirisCasey LCLDepartment of Physiotherapy, 2013Mar",NA,"Not_comparison"
"Van DomelenDane RDRDept of Biostatistics and Bioinformatics, 2014Mar",NA,"Not_comparison"
"DohertyAiden RARBritish Heart Foundation Health Promotion Research Group, 2013Feb13",NA,"Not_comparison"
"AoyagiYukitoshiYExercise Sciences Research Group, 2013Mar-Apr","Publication type",NA
"G&#xf3;mez-CabelloAAGENUD ""Growth, 2013Mar",NA,"Not_comparison"
"KimSang-HwanSHGeriatric Center and Department of Family Medicine, 2013May-Jun",NA,"Molecular/genetic focus"
"BirdeeGurjeet SGSDivision of General Internal Medicine &amp; Pediatrics, 2013Jun",NA,"Not_comparison"
"Dixon-IbarraAliciaACollege of Public Health and Human Sciences, 2013Jan",NA,"Not_comparison"
"FortesCristinaCClinical Epidemiology Unit, 2013Mar",NA,"Not_comparison"
"ResnickBarbaraB, 2013","Cognitive focus",NA
"Ward ThompsonCatharineCOPENspace Research Centre, 2014Jul",NA,"Not_comparison"
"Al-HamdanNasser ANADepartment of Community Medicine, 2012Sep",NA,"Not_comparison"
"VeitchJennyJCentre for Physical Activity and Nutrition Research, 2013Feb",NA,"Not_comparison"
"PerronRachel MRMDepartment of Exercise Science, 2012Dec","Exercise equipment",NA
"SugiyamaTakemiTBaker IDI Heart and Diabetes Institute, 2015Mar",NA,"Not_comparison"
"ZouYuliangYWuhan University, 2012Nov","Disease-related",NA
"HulzebosErik H JEHDepartment of Child Development and Exercise Center, 2012Nov14","Disease-related",NA
"LinChung-Wei ChristineCWMusculoskeletal Division, 2012Nov14","Publication type",NA
"LeungWilliamWSchool of Population Health, 2012",NA,"Not_comparison"
"MiyazakiRyoRGraduate School of Life and Medical Sciences, 2013Jul",NA,"Not_comparison"
"LovasiGina SGSDepartment of Epidemiology, 2013Feb",NA,"Not_comparison"
"SellersC ECESchool of Health &amp; Life Sciences, 2012Nov",NA,"Not_comparison"
"EdbrookeLaraLDepartment of Physiotherapy, 2012Apr28",NA,"Not_comparison"
"KimHunkyungHResearch Team for Promoting Independence of the Elderly, 2013Apr",NA,"Not_comparison"
"MishraShiraz ISIUniversity of New Mexico, 2012Aug15","Disease-related",NA
"SteevesJeremy AJACancer Prevention Fellowship Program, 2012Aug06",NA,"Not_comparison"
"HoosTracyTDept of Public Health, 2012Jul",NA,"Not_comparison"
"JuliusLeslie MLMDepartment of Physical Therapy, 2012Oct",NA,"Not_comparison"
"den OudenMarjolein E MMEJulius Center for Health Sciences and Primary Care, 2013Apr",NA,"Not_comparison"
"SungKiwolKDepartment of Nursing, 2012Dec",NA,"Molecular/genetic focus"
"KoltGregory SGSSchool of Science and Health, 2012May-Jun",NA,"Not_comparison"
"HayashiDanielaDCentre of Research in Health Sciences, 2012Sep-Oct",NA,"Not_comparison"
"DuarteCamila K&#xfc;mmelCKUniversidade Federal do Rio Grande do Sul (UFRGS), 2012Mar-Apr",NA,"Not_comparison"
"JanssenIanISchool of Kinesiology and Health Studies, 2012Mar29",NA,"Not_comparison"
"WittenKarenKCenter for Social and Health Outcomes Research and Evaluation (SHORE) and Whariki Research Centre, 2012Jul",NA,"Not_comparison"
"DourisPeter CPCDepartment of Physical Therapy, 2012Apr","Exercise equipment",NA
"BoyerKatherine AKAMechanical Engineering, 2012May",NA,"Not_comparison"
"SoCynthiaCSchool of Medicine, 2012Apr",NA,"Not_comparison"
"WooJeanJDepartment of Medicine and Therapeutics, 2013Jun",NA,"Not_comparison"
"PerraciniMonica RMRProgram in Physical Therapy, 2012Apr",NA,"Not_comparison"
"OostingEllenEDepartment of Physiotherapy, 2012Apr",NA,"Not_comparison"
"MeromDafnaDSchool of Science and Health, 2012Jan30",NA,"Not_comparison"
"KovelisDem&#xe9;triaDDepartamento de Fisioterapia, 2012Jul",NA,"Not_comparison"
"Ruzi&#x107;AlenAClinic for Cardiovascular Disease Treatment, 2011Sep",NA,NA
"SissonSusan BSBPennington Biomedical Research Center, 2012Jan-Feb",NA,"Not_comparison"
"FeinglassJoeJDivision of General Internal Medicine, 2012Jan",NA,"Not_comparison"
"GrimmElizabeth KEKDepartment of Human Movement Sciences, 2012Jan",NA,"Molecular/genetic focus"
"KimHun KyungHKResearch Team for Promoting Independence of the Elderly, 2012Jan",NA,"Not_comparison"
"SilverwoodRichard JRJDepartment of Non-Communicable Disease Epidemiology, 2011Dec15","Sports-related",NA
"YamadaMinoruMHuman Health Sciences, 2011Dec",NA,"Not_comparison"
"VanSwearingenJessie MJMDepartment of Physical Therapy, 2011Dec",NA,"Not_comparison"
"GomesGrace A OGAPhysical Education Departament, 2011Oct13",NA,"Not_comparison"
"Skatrud-MickelsonMonicaMPediatrics, 2011Dec",NA,"Not_comparison"
"SpinneyJamie E LJEGeography Dept, 2012Feb",NA,"Not_comparison"
"LentinoCindyCThe George Washington University School of Public Health and Health Services, 2012Mar",NA,"Not_comparison"
"HeklerEric BEBStanford Prevention Research Center, 2012Jan",NA,"Not_comparison"
"GebelKlausKCluster for Physical Activity and Health, 2011Sep-Oct",NA,"Not_comparison"
"VolkersKarin MKMDepartment of clinical neuropsychology, 2011Aug09","Publication type",NA
"KitamuraKaoriKDepartment of Nursing, 2011Sep",NA,"Not_comparison"
"Mart&#xed;nVicenteVIBIOMED, 2012Jul-Aug",NA,"Not_comparison"
"KwokBoon ChongBCDepartment of Physiotherapy, 2011Jun18","Publication type",NA
"DangourAlan DADDepartment of Nutrition and Public Health Intervention Research, 2011Apr",NA,"Not_comparison"
"ZakrzewskiJulia KirsteyJKLoughborough University, 2012Jan","Age inappropriate",NA
"CourtneyMary DMDFaculty of Health and Social Development, 2012Feb",NA,"Not_comparison"
"PalSebelySSchool of Public Health, 2011Mar31",NA,"Not_comparison"
"ParkerKathryn MKMDept of Community Health Sciences, 2011Jan",NA,"Not_comparison"
"MotlRobert WRWDepartment of Kinesiology and Community Health, 2011May",NA,"Not_comparison"
"BekkeringW PeterWPDepartment of Physical Therapy, 2011Mar01","Age inappropriate",NA
"AbelMarkMDept of Kinesiology and Health Promotion, 2011Jan",NA,"Not_comparison"
"AssahFelix KFKMedical Research Council Epidemiology Unit, 2011Feb",NA,"Not_comparison"
"WakabayashiRitsukoRDepartment of Internal Medicine, 2011Jan","Disease-related",NA
"MikawaKotaroKDepartment of Physical Therapy, 2011",NA,"Molecular/genetic focus"
"OlczykJoannaJDepartment of Oncological Endocrinology, 2010",NA,"Not_comparison"
"MacKay-LyonsMarilynMSchool of Physiotherapy, 2010Dec08","Cognitive focus",NA
"SlamanJorritJDepartment of Rehabilitation Medicine and Physical Therapy, 2010Nov05","Other",NA
"PlantingaLaura CLCDepartment of Medicine, 2011Feb",NA,"Not_comparison"
"WinterCorinna CCCDepartment of Orthopedics and Tumor Orthopedics, 2010Oct12",NA,"Not_comparison"
"MangioneKathleen KKKDepartment of Physical Therapy, 2010Oct","Disease-related",NA
"McClainJames JJJCancer Prevention Fellowship Program, 2010Sep",NA,"Not_comparison"
"DuncanMitch JMJCentre for Physical Activity Studies, 2010Sep",NA,NA
"LundAdam J SAJDepartment for Health, 2011Apr",NA,"Not_comparison"
"LanteKerrieKSchool of Health Sciences, 2010Nov-Dec",NA,"Not_comparison"
